#V3.30
#C data file created using the SS_writedat function in the R package r4ss
#C file write time: 2024-03-28 12:06:53.544313
#
1997 #_styr
2023 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
1 #_Nsexes
30 #_Nages
1 #_N_areas
3 #_Nfleets
#_fleetinfo
#_type	surveytiming	area	units	need_catch_mult	fleetname
1	-1	1	1	0	Fishery 	#_1
3	 6	1	1	0	Acoustic	#_2
3	11	1	1	0	IBTS    	#_3
#_Catch data
#_year	season	fleet	catch	catch_se
 -999	1	1	      0	0.2	#_1         
 1997	1	1	     63	0.1	#_2         
 1998	1	1	     63	0.1	#_3         
 1999	1	1	     63	0.1	#_4         
 2000	1	1	    458	0.1	#_5         
 2001	1	1	    120	0.1	#_6         
 2002	1	1	267.333	0.1	#_7         
 2003	1	1	10882.8	0.1	#_8         
 2004	1	1	4644.04	0.1	#_9         
 2005	1	1	5814.17	0.1	#_10        
 2006	1	1	   7836	0.1	#_11        
 2007	1	1	21122.7	0.1	#_12        
 2008	1	1	33957.9	0.1	#_13        
 2009	1	1	89288.4	0.1	#_14        
 2010	1	1	 145927	0.1	#_15        
 2011	1	1	37108.8	0.1	#_16        
 2012	1	1	86508.2	0.1	#_17        
 2013	1	1	71046.2	0.1	#_18        
 2014	1	1	44995.3	0.1	#_19        
 2015	1	1	17597.8	0.1	#_20        
 2016	1	1	17502.2	0.1	#_21        
 2017	1	1	17132.3	0.1	#_22        
 2018	1	1	10846.3	0.1	#_23        
 2019	1	1	  11572	0.1	#_24        
 2020	1	1	16211.3	0.1	#_25        
 2021	1	1	19165.1	0.1	#_26        
 2022	1	1	21116.2	0.1	#_27        
 2023	1	1	  27349	0.1	#_28        
-9999	0	0	      0	  0	#_terminator
#_CPUE_and_surveyabundance_observations
#_Units:  0=numbers; 1=biomass; 2=F; >=30 for special types
#_Errtype:  -1=normal; 0=lognormal; >0=T
#_SD_Report: 0=no sdreport; 1=enable sdreport
#_Fleet	Units	Errtype	SD_Report
1	1	0	0	#_Fishery 
2	1	0	0	#_Acoustic
3	1	0	0	#_IBTS    
#
#_CPUE_data
#_year	seas	index	obs	se_log
 2011	 6	2	212797	0.17	#_1         
 2012	 6	2	248001	0.22	#_2         
 2013	 6	2	135602	0.17	#_3         
 2014	 6	2	161582	0.14	#_4         
 2015	 6	2	246687	0.15	#_5         
 2016	 6	2	 74165	0.16	#_6         
 2017	 6	2	235234	0.21	#_7         
 2018	 6	2	189630	 0.2	#_8         
 2019	 6	2	193293	0.25	#_9         
 2020	 6	2	399872	0.35	#_10        
 2021	 6	2	574963	 0.3	#_11        
 2022	 6	2	527443	0.23	#_12        
 2023	 6	2	596491	0.13	#_13        
 2003	11	3	 90951	0.23	#_14        
 2004	11	3	 80945	0.25	#_15        
 2005	11	3	114079	0.24	#_16        
 2006	11	3	148407	0.23	#_17        
 2007	11	3	223024	0.23	#_18        
 2008	11	3	291278	0.27	#_19        
 2009	11	3	150122	0.27	#_20        
 2010	11	3	377026	0.31	#_21        
 2011	11	3	271419	0.32	#_22        
 2012	11	3	196437	0.31	#_23        
 2013	11	3	228460	 0.3	#_24        
 2014	11	3	333864	0.29	#_25        
 2015	11	3	561608	0.34	#_26        
 2016	11	3	819276	0.35	#_27        
 2017	11	3	428722	0.42	#_28        
 2018	11	3	647878	0.34	#_29        
 2019	11	3	405350	0.33	#_30        
 2020	11	3	656289	0.34	#_31        
 2021	11	3	978025	0.41	#_32        
 2022	11	3	665638	0.34	#_33        
-9999	 0	0	     0	   0	#_terminator
0 #_N_discard_fleets
#_discard_units (1=same_as_catchunits(bio/num); 2=fraction; 3=numbers)
#_discard_errtype:  >0 for DF of T-dist(read CV below); 0 for normal with CV; -1 for normal with se; -2 for lognormal
#
#_discard_fleet_info
#
#_discard_data
#
#_meanbodywt
0 #_use_meanbodywt
 #_DF_for_meanbodywt_T-distribution_like
#
#_population_length_bins
1 # length bin method: 1=use databins; 2=generate from binwidth,min,max below; 3=read vector
1 #_use_lencomp
#
#_len_info
#_mintailcomp	addtocomp	combine_M_F	CompressBins	CompError	ParmSelect	minsamplesize
-1	1e-07	0	5	1	1	0.01	#_Fishery 
